Datenum,Lon,Lat,Rad_max,Rad_out,Vel_Azimuth
738135,12.5336395127975,-31.8342860175468,43.8397191582919,93.8918408822948,-0.465938439468808
738136,12.5069229280667,-31.841975278231,44.0261510273174,94.9621745213303,-0.463847615315959
738137,12.448529258273,-31.8510467857497,45.0527038057806,96.1443432778515,-0.443385263569948
738138,12.4275944945584,-31.8530801902669,44.7287404599006,97.7822502587747,-0.438680085602774
738139,12.3765523378925,-31.8617181216245,47.7442868399921,98.9491885694726,-0.424920313477977
738140,12.3423521132558,-31.86665408545,47.8817381247371,98.2492605847545,-0.420674063320399
738141,12.2754341290953,-31.8925324262022,55.3359618352891,95.0908279176157,-0.443839332930771
738142,12.2434340618708,-31.9206053061286,43.089525153939,95.4832225030898,-0.444151212781104
738143,12.1884262332336,-31.9336547919407,49.0966442460632,92.927519064044,-0.462455616911667
738144,12.1559459311143,-31.9435796203478,48.4316302150123,91.7885239924066,-0.45311361862835
738145,12.1252208124323,-31.9555953176831,48.3185095059824,92.6906940623035,-0.450617134621371
738146,12.0918000869026,-31.9698510848186,44.8631321311452,94.6112854563583,-0.462634025317286
738147,12.0391256740617,-31.9987637213305,44.2489920357596,93.6343260227797,-0.456346311773442
738148,12.003803708864,-32.0099388575922,44.8694450258705,88.371563152169,-0.451240973158381
738149,11.9251793007586,-32.0537695533311,44.422637968965,86.0736192320345,-0.402693326068438
738150,11.8396331737041,-32.1126336011162,52.9735753581519,80.4921418001065,-0.356028121568678
738151,11.7226587908585,-32.1623568021104,62.2539970485186,77.5219846003158,-0.361753206585646
738152,11.8245215861453,-32.1967589204606,38.3400688657261,77.8987822820492,-0.352012786615824
738153,11.6208002256596,-32.2741026763709,56.8823437775708,73.4079614393534,-0.370765700660167
738154,11.5786638341323,-32.3160663342794,51.6288011513739,69.5963787450106,-0.37684194819707
738155,11.5323755197382,-32.3577926866216,49.0630087256893,67.3103451279509,-0.383803386933325
738156,11.4156173926087,-32.3694025788686,56.8220143220822,63.0257899448703,-0.368202293379286
738157,11.3819219733939,-32.4140299404922,51.8784914845317,58.0158435482333,-0.380856635704006
738158,11.3442607377585,-32.4455040167839,48.6157730941831,54.7650173055923,-0.391270872327101
738159,11.2275444916599,-32.4546421928659,54.648141380503,54.648141380503,-0.413008873851935
738160,11.208747490646,-32.4998222052936,52.5049098345231,54.1422979167567,-0.411276101488421
738161,11.1378992668313,-32.528333955661,50.3432696269318,51.8589261842707,-0.39498296543755
738162,11.0503528542686,-32.5895867686204,44.026722883632,48.6319174651168,-0.372538893088888
738163,10.9746510269876,-32.6232335160895,40.4997337524861,50.9922778232924,-0.357677382174208
738164,10.7411144535436,-32.6314003389765,43.8343510904,94.5679899095635,-0.286974297930796
738165,10.2172002649986,-32.360805147255,87.7763690888955,92.6274823304714,-0.280101356018567
738166,10.1447435601816,-32.4139605492898,89.2204196479308,93.1975552945732,-0.324551587087077
738167,10.1189890645706,-32.4407254587545,89.3067089078726,91.7498340282237,-0.347237615835339
738168,10.238100628657,-32.7639314181228,55.4400375908768,90.1541622826851,-0.387056259410839
738169,10.0239811160947,-32.8046162742892,43.1615061061427,81.9037916248277,-0.387176898272417
738170,9.97393435201336,-32.7917009952747,46.5119109493711,78.344093902452,-0.369512411710542
