pprojid	profileid	filename	date_time	latitude	longitude	psampleid	depth	watervolume	class01	class02	class03	class04	class05	class06	class07	class08	class09	class10	class11	class12	class13	class14	class15	class16	class18	class19	class20	class21	class22	class23	class24	class25	class26	class27	class28	class29	class30	class31	class32	class33	class34	class35	class36	class37	class38	class39	class40	class41	class42	class43	class44	class45	biovol01	biovol02	biovol03	biovol04	biovol05	biovol06	biovol07	biovol08	biovol09	biovol10	biovol11	biovol12	biovol13	biovol14	biovol15	biovol16	biovol17	biovol18	biovol19	biovol20	biovol21	biovol22	biovol23	biovol24	biovol25	biovol26	biovol27	biovol28	biovol29	biovol30	biovol31	biovol32	biovol33	biovol34	biovol35	biovol36	biovol37	biovol38	biovol39	biovol40	biovol41	biovol42	biovol43	biovol44	biovol45
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	356.9	12.0																	0	0	4037	152	82	46	6	3	7	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	356.4	12.0																	0	0	3874	156	70	34	9	6	4	2	4	1	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	354.2	12.0																	0	0	3904	165	94	36	1	16	4	1	0	1	3	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	354.9	12.0																	0	0	3917	125	78	36	10	2	0	1	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	353.2	12.0																	0	0	3959	128	75	31	5	2	2	2	1	3	4	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	351.8	12.0																	0	0	3929	166	94	46	12	3	0	1	1	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	357.4	12.0																	0	0	3860	139	67	43	8	4	3	0	1	4	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	353.4	12.0																	0	0	3863	135	73	34	9	3	1	0	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	361.9	12.0																	0	0	3844	160	74	33	6	2	3	2	0	0	0	0	0	0	0																																																								
356	ensuse001b-036-02-PAR	ensuse001b-036-02-PAR_000101LP_TIME_LPM.txt	2021-09-10 06:32:14	-35.063	7.696	31974	357.2	12.0																	0	0	3897	168	107	32	11	3	2	0	0	0	0	0	0	0	0																																																								
