RAWfilename	Latitude	Longitude	Date_Time	Pressure [dbar]	Vol [L] (sampled for this depth bin)	Flux_mgC_m2	Flux_mgC_m2_from0.1200sizeclass_eta0.62_b66	Flux_mgC_m2_from0.0254sizeclass_eta0.62_b132	Flux_mgC_m2_from0.0254sizeclass_eta0.62_b66	Flux_MiP_mgC_m2	Flux_MaP_mgC_m2	Flux_MiP_mgC_m2_from0.1200sizeclass_eta0.62_b66	Flux_MaP_mgC_m2_eta0.62_b66	Flux_MiP_mgC_m2_from0.0254sizeclass_eta0.62_b132	Flux_MiP_mgC_m2_from0.0254sizeclass_eta0.62_b66	MiP_abun	MaP_abun	Mip_POC_cont_mgC_m3	Map_POC_cont_mgC_m3	Mip_POC_cont_mgC_m3_extendendTo0.0254sizeclass	Respi_nmolO2_l_h	Respi_Iversen_nmolO2_l_h	Respi_Reminer_kRemPoc0013_nmolO2_l_h	Respi_Reminer_kRemPoc0003_nmolO2_l_h	Respi_Reminer_kRemPoc0031_nmolO2_l_h	Respi_Reminer_kRemPoc0100_nmolO2_l_h	Respi_Reminer_kRemPoc0500_nmolO2_l_h	Respi_nmolO2_l_h_from0.0254sizeclass	Respi_Iversen_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0013_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0003_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0031_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0100_nmolO2_l_h_from0.0254sizeclass	Respi_Reminer_kRemPoc0500_nmolO2_l_h_from0.0254sizeclass
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	227.5	18.6	5.5605	2.7803	24.315	12.157	4.5755	0.44953	2.2877	0.22477	23.33	11.665	27.15	0.053763	0.6292	0.017131	5.8917	0.86285	0.86285	0.058336	0.013462	0.13911	0.44874	2.2437	6.0112	6.0112	0.60813	0.14034	1.4502	4.678	23.39
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	237.5	19.2	6.8495	3.4248	20.938	10.469	5.3683	1.2218	2.6841	0.61091	19.457	9.7286	32.187	0.052083	0.74034	0.034997	4.2783	0.99094	0.99094	0.064971	0.014993	0.15493	0.49977	2.4989	4.3748	4.3748	0.41502	0.095774	0.98967	3.1925	15.962
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	247.5	19.2	5.6407	2.8204	28.685	14.343	4.6864	0.43549	2.3432	0.21774	27.731	13.865	28.698	0.052083	0.6593	0.016596	7.5068	0.84826	0.84826	0.055269	0.012754	0.1318	0.42515	2.1257	7.1595	7.1595	0.70542	0.16279	1.6822	5.4263	27.132
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	257.5	20.4	5.4043	2.7021	23.247	11.623	4.7206	0.68364	2.3603	0.34182	22.563	11.282	29.363	0.04902	0.66633	0.022613	5.6425	0.8125	0.8125	0.052125	0.012029	0.1243	0.40096	2.0048	5.2981	5.2981	0.50194	0.11583	1.1969	3.8611	19.305
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	267.5	20.4	7.3404	3.6702	19.416	9.7082	5.3707	1.9697	2.6854	0.98486	17.447	8.7234	31.078	0.14706	0.72767	0.064178	3.5985	0.93798	0.93798	0.057254	0.013213	0.13653	0.44042	2.2021	3.5076	3.5076	0.30663	0.070761	0.7312	2.3587	11.794
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	277.5	21.0	4.9447	2.4724	227.32	113.66	4.9447	0.0	2.4724	0.0	227.32	113.66	33.334	0.0	0.73822	0.0	89.77	0.8263	0.8263	0.052905	0.012209	0.12616	0.40696	2.0348	76.31	76.31	7.7278	1.7833	18.428	59.444	297.22
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	287.5	23.4	9.2128	4.6064	17.794	8.8969	5.2542	3.7457	2.6271	1.8729	13.835	6.9176	30.855	0.12821	0.71362	0.097553	2.5351	0.96556	0.96556	0.055553	0.01282	0.13247	0.42733	2.1367	2.5579	2.5579	0.20475	0.047251	0.48826	1.575	7.8752
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	297.5	24.0	8.0188	4.0094	18.338	9.1691	5.3708	2.233	2.6854	1.1165	15.69	7.8451	31.125	0.083334	0.72839	0.06014	3.01	0.92405	0.92405	0.053906	0.01244	0.12854	0.41466	2.0733	2.894	2.894	0.23709	0.054713	0.56537	1.8238	9.1188
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	307.5	21.6	5.6372	2.8186	84.286	42.143	5.4066	0.0	2.7033	0.0	84.056	42.028	30.556	0.0	0.7181	0.0	29.073	0.79625	0.79625	0.04859	0.011213	0.11587	0.37377	1.8689	24.193	24.193	2.3296	0.53761	5.5553	17.92	89.602
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	317.5	23.4	6.1195	3.0598	25.553	12.777	5.1662	0.95331	2.5831	0.47666	24.6	12.3	30.556	0.08547	0.70998	0.033331	6.0825	0.81576	0.81576	0.048728	0.011245	0.1162	0.37483	1.8742	5.3075	5.3075	0.47041	0.10856	1.1217	3.6185	18.093
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	327.5	23.4	5.6073	2.8037	49.723	24.861	5.1817	0.0	2.5908	0.0	49.297	24.648	29.615	0.0	0.69319	0.0	15.358	0.7675	0.7675	0.045814	0.010572	0.10925	0.35241	1.7621	12.718	12.718	1.182	0.27277	2.8186	9.0924	45.462
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	337.5	22.8	5.3656	2.6828	31.163	15.582	4.9989	0.36673	2.4994	0.18337	30.797	15.398	28.026	0.04386	0.66572	0.013976	8.3983	0.72394	0.72394	0.042714	0.0098571	0.10186	0.32857	1.6429	6.9969	6.9969	0.62512	0.14426	1.4907	4.8086	24.043
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	347.5	22.8	7.9905	3.9952	18.012	9.0061	6.0332	1.7388	3.0166	0.8694	16.055	8.0275	28.772	0.04386	0.72248	0.043072	3.0701	0.84571	0.84571	0.04721	0.010895	0.11258	0.36315	1.8158	2.7683	2.7683	0.21961	0.050678	0.52367	1.6893	8.4464
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	357.5	21.6	5.1352	2.5676	42.869	21.434	4.9046	0.0	2.4523	0.0	42.638	21.319	26.574	0.0	0.6323	0.0	13.074	0.6717	0.6717	0.03911	0.0090254	0.093262	0.30085	1.5042	10.514	10.514	0.95071	0.2194	2.2671	7.3132	36.566
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	367.5	21.6	12.124	6.0621	17.663	8.8314	5.0938	6.5691	2.5469	3.2846	10.632	5.3162	29.63	0.18518	0.69059	0.14673	1.5757	0.96502	0.96502	0.049008	0.01131	0.11687	0.37699	1.8849	1.686	1.686	0.1109	0.025592	0.26445	0.85306	4.2653
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	377.5	22.2	5.4968	2.7484	84.155	42.078	5.4968	0.0	2.7484	0.0	84.155	42.078	28.739	0.0	0.69747	0.0	28.998	0.70781	0.70781	0.040432	0.0093304	0.096414	0.31101	1.5551	22.339	22.339	2.0212	0.46642	4.8197	15.547	77.737
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	387.5	21.6	6.623	3.3115	14.819	7.4095	4.8912	1.7317	2.4456	0.86586	13.087	6.5437	24.213	0.092592	0.59848	0.052465	2.4992	0.66543	0.66543	0.035388	0.0081665	0.084387	0.27222	1.3611	2.1282	2.1282	0.1598	0.036877	0.38106	1.2292	6.1461
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	397.5	21.0	7.3828	3.6914	19.89	9.945	5.714	1.1945	2.857	0.59725	18.221	9.1106	25.619	0.14286	0.65844	0.045522	3.8699	0.72791	0.72791	0.037867	0.0087386	0.090299	0.29129	1.4564	3.137	3.137	0.24116	0.055651	0.57506	1.855	9.2752
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	407.5	21.0	5.1282	2.5641	58.408	29.204	4.891	0.0	2.4455	0.0	58.171	29.085	26.476	0.0	0.6376	0.0	19.019	0.62181	0.62181	0.033689	0.0077745	0.080336	0.25915	1.2957	13.905	13.905	1.1872	0.27398	2.8311	9.1327	45.663
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	417.5	23.4	5.7219	2.861	19.915	9.9574	4.7686	0.95331	2.3843	0.47666	18.961	9.4807	24.102	0.08547	0.59566	0.033331	4.4009	0.6091	0.6091	0.032011	0.0073872	0.076334	0.24624	1.2312	3.3965	3.3965	0.26491	0.061133	0.63171	2.0378	10.189
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	427.5	24.6	10.188	5.0942	15.635	7.8177	5.3272	4.8612	2.6636	2.4306	10.774	5.3871	26.585	0.0813	0.65729	0.097132	1.6169	0.77147	0.77147	0.03738	0.0086261	0.089137	0.28754	1.4377	1.4908	1.4908	0.095168	0.021962	0.22694	0.73206	3.6603
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	437.5	22.2	7.474	3.737	19.311	9.6556	5.5919	1.4334	2.796	0.71668	17.429	8.7146	26.532	0.09009	0.66685	0.044621	3.7196	0.71498	0.71498	0.036644	0.0084564	0.087383	0.28188	1.4094	2.9465	2.9465	0.22179	0.051183	0.5289	1.7061	8.5306
ensuse001b-035-02-ASC_000101LP_DEPTH_LPM.txt	-35.441	7.419	2021-09-05T21:20:25	447.5	22.2	7.3971	3.6986	14.821	7.4103	4.786	2.1624	2.393	1.0812	12.209	6.1047	23.828	0.09009	0.59207	0.05859	2.2152	0.66401	0.66401	0.033165	0.0076534	0.079085	0.25511	1.2756	1.8581	1.8581	0.13051	0.030118	0.31122	1.0039	5.0197
